"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 02 21:41:11 GMT+05:00 2024","Mon Dec 02 21:41:22 GMT+05:00 2024","11602","","MainPageTest","","MainPageTest","openFillingMenuTab","openFillingMenuTab",""
"passed","Mon Dec 02 21:39:54 GMT+05:00 2024","Mon Dec 02 21:40:44 GMT+05:00 2024","49981","","LoginTest","","LoginTest","logoutTest","logoutTest",""
"passed","Mon Dec 02 21:41:39 GMT+05:00 2024","Mon Dec 02 21:41:58 GMT+05:00 2024","18855","","RegistrationTest","","RegistrationTest","registrationTest","registrationTest",""
"passed","Mon Dec 02 21:41:22 GMT+05:00 2024","Mon Dec 02 21:41:30 GMT+05:00 2024","8009","","MainPageTest","","MainPageTest","openBunsMenuTab","openBunsMenuTab",""
"passed","Mon Dec 02 21:41:30 GMT+05:00 2024","Mon Dec 02 21:41:39 GMT+05:00 2024","8576","","MainPageTest","","MainPageTest","openSauceMenuTab","openSauceMenuTab",""
"passed","Mon Dec 02 21:41:00 GMT+05:00 2024","Mon Dec 02 21:41:11 GMT+05:00 2024","10509","","LoginTest","","LoginTest","loginWithAuthLinkFromResetPasswordPage","loginWithAuthLinkFromResetPasswordPage",""
"passed","Mon Dec 02 21:40:44 GMT+05:00 2024","Mon Dec 02 21:41:00 GMT+05:00 2024","16149","","LoginTest","","LoginTest","loginWithAuthButton","loginWithAuthButton",""
"passed","Mon Dec 02 21:41:58 GMT+05:00 2024","Mon Dec 02 21:42:16 GMT+05:00 2024","18732","","RegistrationTest","","RegistrationTest","registrationInvalidPasswordTest","registrationInvalidPasswordTest",""
"passed","Mon Dec 02 21:39:30 GMT+05:00 2024","Mon Dec 02 21:39:54 GMT+05:00 2024","24309","","LoginTest","","LoginTest","loginWithAuthLinkFromRegPage","loginWithAuthLinkFromRegPage",""
"passed","Mon Dec 02 21:39:13 GMT+05:00 2024","Mon Dec 02 21:39:29 GMT+05:00 2024","16247","","LoginTest","","LoginTest","loginWithAccountButton","loginWithAccountButton",""
